lat,lon,crs,tas_anom
-89.5,47.5,b'',6.41015
-89.5,48.5,b'',6.4189115
-89.5,49.5,b'',6.4177046
-89.5,50.5,b'',6.4155602
-89.5,51.5,b'',6.411954
-89.5,52.5,b'',6.41783
-89.5,53.5,b'',6.4137874
-89.5,54.5,b'',6.418629
-89.5,55.5,b'',6.4214306
-89.5,56.5,b'',6.417992
-89.5,57.5,b'',6.4210215
-89.5,58.5,b'',6.4214406
-89.5,59.5,b'',6.4241977
-89.5,60.5,b'',6.4236937
-89.5,61.5,b'',6.4207273
-89.5,62.5,b'',6.4289255
-89.5,63.5,b'',6.4349866
-89.5,64.5,b'',6.4403944
-89.5,65.5,b'',6.4429274
-89.5,66.5,b'',6.4475327
-89.5,67.5,b'',6.4535666
-89.5,68.5,b'',6.448821
-89.5,69.5,b'',6.4487877
-89.5,70.5,b'',6.452905
-89.5,71.5,b'',6.4585624
-89.5,72.5,b'',6.455438
-89.5,73.5,b'',6.460097
-89.5,74.5,b'',6.463299
-89.5,75.5,b'',6.4632688
-89.5,76.5,b'',6.458151
-89.5,77.5,b'',6.4551353
-89.5,78.5,b'',6.459723
-89.5,79.5,b'',6.470583
-89.5,80.5,b'',6.4751964
-89.5,81.5,b'',6.482549
-89.5,82.5,b'',6.477686
-89.5,83.5,b'',6.48417
-89.5,84.5,b'',6.485086
-89.5,85.5,b'',6.4826326
-89.5,86.5,b'',6.477821
-89.5,87.5,b'',6.4673104
-89.5,88.5,b'',6.470596
-89.5,89.5,b'',6.4771557
-89.5,90.5,b'',6.484317
-89.5,91.5,b'',6.4831533
-89.5,92.5,b'',6.4817767
-89.5,93.5,b'',6.4822326
-89.5,94.5,b'',6.480592
-89.5,95.5,b'',6.4780493
-89.5,96.5,b'',6.474467
-89.5,97.5,b'',6.468402
-89.5,98.5,b'',6.4641595
-89.5,99.5,b'',6.473194
-89.5,100.5,b'',6.473229
-89.5,101.5,b'',6.471112
-89.5,102.5,b'',6.4718585
-89.5,103.5,b'',6.4772825
-89.5,104.5,b'',6.4750185
-89.5,105.5,b'',6.472111
-89.5,106.5,b'',6.471334
-89.5,107.5,b'',6.466761
-89.5,108.5,b'',6.466873
-89.5,109.5,b'',6.4683642
-89.5,110.5,b'',6.469792
-89.5,111.5,b'',6.465043
-89.5,112.5,b'',6.461245
-89.5,113.5,b'',6.4581866
-89.5,114.5,b'',6.4551516
-89.5,115.5,b'',6.4542904
-89.5,116.5,b'',6.455395
-89.5,117.5,b'',6.449398
-89.5,118.5,b'',6.451048
-89.5,119.5,b'',6.449764
-89.5,120.5,b'',6.448371
-89.5,121.5,b'',6.4472156
-89.5,122.5,b'',6.448368
-89.5,123.5,b'',6.4376473
-89.5,124.5,b'',6.440824
-89.5,125.5,b'',6.439251
-89.5,126.5,b'',6.4381824
-89.5,127.5,b'',6.436611
-89.5,128.5,b'',6.433441
-89.5,129.5,b'',6.427373
-89.5,130.5,b'',6.4241514
-89.5,131.5,b'',6.420776
-89.5,132.5,b'',6.4149237
-89.5,133.5,b'',6.4180794
-89.5,134.5,b'',6.415268
-89.5,135.5,b'',6.4124923
-89.5,136.5,b'',6.4073963
-89.5,137.5,b'',6.4008183
-89.5,138.5,b'',6.3994484
-89.5,139.5,b'',6.396464
-89.5,140.5,b'',6.396348
-89.5,141.5,b'',6.3976684
-89.5,142.5,b'',6.392943
-89.5,143.5,b'',6.392269
-89.5,144.5,b'',6.385276
-89.5,145.5,b'',6.375005
-89.5,146.5,b'',6.372869
-89.5,147.5,b'',6.3782134
-89.5,148.5,b'',6.374819
-89.5,149.5,b'',6.370556
-89.5,150.5,b'',6.369269
-89.5,151.5,b'',6.3671618
-89.5,152.5,b'',6.3680673
-89.5,153.5,b'',6.359195
-89.5,154.5,b'',6.352903
-89.5,155.5,b'',6.347326
-89.5,156.5,b'',6.3430734
-89.5,157.5,b'',6.3449116
-89.5,158.5,b'',6.339739
-89.5,159.5,b'',6.336479
-89.5,160.5,b'',6.336794
-89.5,161.5,b'',6.331056
-89.5,162.5,b'',6.326244
-89.5,163.5,b'',6.322417
-89.5,164.5,b'',6.3296843
-89.5,165.5,b'',6.32978
-89.5,166.5,b'',6.327129
-89.5,167.5,b'',6.315868
-89.5,168.5,b'',6.319942
-89.5,169.5,b'',6.31303
-89.5,170.5,b'',6.3082085
-89.5,171.5,b'',6.2976055
-89.5,172.5,b'',6.2963657
-89.5,173.5,b'',6.291114
-89.5,174.5,b'',6.2919035
-89.5,175.5,b'',6.2890153
-89.5,176.5,b'',6.282925
-89.5,177.5,b'',6.283927
-89.5,178.5,b'',6.27509
-89.5,179.5,b'',6.271638
-88.5,-179.5,b'',6.092268
-88.5,-178.5,b'',6.0868783
-88.5,-177.5,b'',6.0776267
-88.5,-176.5,b'',6.074575
-88.5,-175.5,b'',6.0670238
-88.5,-174.5,b'',6.0580773
-88.5,-173.5,b'',6.0564575
-88.5,-172.5,b'',6.0498047
-88.5,-171.5,b'',6.04522
-88.5,-170.5,b'',6.0272894
-88.5,-169.5,b'',6.0241737
-88.5,-168.5,b'',6.022884
-88.5,-167.5,b'',6.015464
-88.5,-166.5,b'',6.0120535
-88.5,-165.5,b'',6.0104685
-88.5,-164.5,b'',6.012109
-88.5,-163.5,b'',6.0134706
-88.5,-162.5,b'',6.0128407
-88.5,-161.5,b'',6.0170817
-88.5,-160.5,b'',6.019666
-88.5,-159.5,b'',6.0167327
-88.5,-158.5,b'',6.012512
-88.5,-157.5,b'',6.014041
-88.5,-156.5,b'',6.0084877
-88.5,-155.5,b'',6.0079265
-88.5,-154.5,b'',6.001534
-88.5,-153.5,b'',5.9991927
-88.5,-152.5,b'',5.990319
-88.5,-151.5,b'',5.9970565
-88.5,-150.5,b'',5.995769
-88.5,-149.5,b'',5.9952083
-88.5,-148.5,b'',5.9965787
-88.5,-147.5,b'',5.9922395
-88.5,-146.5,b'',5.9987407
-88.5,-145.5,b'',6.006175
-88.5,-144.5,b'',6.0128236
-88.5,-143.5,b'',6.012229
-88.5,-142.5,b'',6.0200753
-88.5,-141.5,b'',6.024253
-88.5,-140.5,b'',6.030957
-88.5,-139.5,b'',6.034683
-88.5,-138.5,b'',6.0376596
-88.5,-137.5,b'',6.042609
-88.5,-136.5,b'',6.041408
-88.5,-135.5,b'',6.0410347
-88.5,-134.5,b'',6.0390005
-88.5,-133.5,b'',6.0426006
-88.5,-132.5,b'',6.0491304
-88.5,-131.5,b'',6.0473204
-88.5,-130.5,b'',6.0521526
-88.5,-129.5,b'',6.054838
-88.5,-128.5,b'',6.0627565
-88.5,-127.5,b'',6.0668197
-88.5,-126.5,b'',6.066496
-88.5,-125.5,b'',6.065843
-88.5,-124.5,b'',6.0642257
-88.5,-123.5,b'',6.065166
-88.5,-122.5,b'',6.0745206
-88.5,-121.5,b'',6.0732465
-88.5,-120.5,b'',6.078411
-88.5,-119.5,b'',6.080302
-88.5,-118.5,b'',6.083626
-88.5,-117.5,b'',6.081967
-88.5,-116.5,b'',6.081726
-88.5,-115.5,b'',6.0847464
-88.5,-114.5,b'',6.083107
-88.5,-113.5,b'',6.0821986
-88.5,-112.5,b'',6.0837603
-88.5,-111.5,b'',6.080254
-88.5,-110.5,b'',6.077098
-88.5,-109.5,b'',6.0758567
-88.5,-108.5,b'',6.0718107
-88.5,-107.5,b'',6.0722046
-88.5,-106.5,b'',6.0641913
-88.5,-105.5,b'',6.0596447
-88.5,-104.5,b'',6.054928
-88.5,-103.5,b'',6.055721
-88.5,-102.5,b'',6.0532494
-88.5,-101.5,b'',6.0513253
-88.5,-100.5,b'',6.0417275
-88.5,-99.5,b'',6.039687
-88.5,-98.5,b'',6.041072
-88.5,-97.5,b'',6.04434
-88.5,-96.5,b'',6.0425878
-88.5,-95.5,b'',6.041116
-88.5,-94.5,b'',6.0393558
-88.5,-93.5,b'',6.0437045
-88.5,-92.5,b'',6.0421243
-88.5,-91.5,b'',6.0418644
-88.5,-90.5,b'',6.0386496
-88.5,-89.5,b'',6.0389476
-88.5,-88.5,b'',6.043553
-88.5,-87.5,b'',6.0443726
-88.5,-86.5,b'',6.0520077
